,isin,text
0,SE0011337708,"CEO's commentsVD:s kommentarerIn connection with the release of AAK's Interim report for the third quarter 2021, we invite you to a press and analyst conference to be held on Friday, October 29, 2021, at 2 p.m. CET. The conference will be chaired by Johan Westman, President and CEO, and Tomas Bergendahl, CFO. The presentation will be held in English.I anslutning till att AAK publicerar sin delårsrapport för tredje kvartalet 2021, hålls en press- och analytikerkonferens fredagen den 29 oktober 2021 klockan 14:00 lokal tid. Konferensen kommer att ledas av Johan Westman, koncernchef och VD, och Tomas Bergendahl, finansdirektör. Presentationen kommer att hållas på engelska.The long-term incentive program for employees (""Warrants Program series 2017/2022:2"") implemented at the annual general meeting on May 17, 2017 has resulted in the number of shares and votes in the company having increased during September 2021 by 1,644,618 shares and votes, through conversion of subscription warrants into new shares in the company.Det incitamentsprogram för anställda (""Teckningsoptionsprogram serie 2017/2022:2"") som infördes vid årsstämman den 17 maj 2017 har inneburit att antalet aktier och röster i bolaget har ökat under september 2021 med 1.644.618 aktier respektive röster, genom utnyttjande av teckningsoptioner för att teckna nya aktier i bolaget.AAK AB hereby invites analysts, investors and media to its Capital Market Day on November 23, 2021, held at Best Western Malmö Arena Hotel in Malmö, Sweden.AAK AB bjuder härmed in analytiker, investerare och media till sin kapitalmarknadsdag den 23 november 2021 på Best Western Malmö Arena Hotel i Malmö.AAK has entered a partnership with Nestlé, the world's largest food and beverage company, and palm oil corporation Musim Mas to address deforestation outside of palm oil concession areas in Aceh, Indonesia. The five-year program will positively impact some 1,000 independent smallholders. Aceh is a priority landscape as 87 percent of the Leuser Ecosystem - a protected area important for both biodiversity and carbon storage - lies within the province.AAK har ingått ett partnerskap med Nestlé, världens största mat- och dryckesföretag, samt palmoljebolaget Musim Mas för att motverka avskogning utanför officiella palmoljeområden i Aceh, Indonesien. Det femåriga programmet kommer att ha en positiv inverkan på cirka 1.000 oberoende småjordbrukare. Aceh är ett prioriterat område då 87% av Leuser Ecosystem - ett skyddat område som är viktigt för såväl biologisk mångfald som koldioxidlagring - ligger i provinsen."
1,CH0012221716,"Zurich, Switzerland, November 4, 2021Zurich, Switzerland, October 28, 2021Zurich, Switzerland, October 21, 2021Ad hoc Announcement pursuant to Art. 53 Listing Rules of SIX Swiss ExchangeZurich, Switzerland, October 14, 2021Zurich, Switzerland, October 7, 2021Zurich, Switzerland, September 30, 2021Zurich, Switzerland, September 23, 2021Zurich, Switzerland, September 16, 2021Zurich, Switzerland, September 9, 2021"
4,SE0014781795,"VD-kommentarVi hade en mycket stark underliggande efterfrågan under andra kvartalet med god tillväxt i samtliga affärsområden. Detta resulterade sammantaget i en organisk omsättningsökning på 10 procent. Utmaningarna med den globala komponentbristen har hanterats föredömligt av våra bolag och bedöms endast ha haft en begränsad påverkan på koncernens sammantagna leveransförmåga till våra kunder under perioden. Marknadsläget i kombination med fortsatt god kostnadskontroll samt väl hanterade prisökningar från leverantörer resulterade i rekordhöga marginaler och en EBITA-tillväxt på 39 procent för kvartalet.CEO's commentsWe experienced very strong underlying demand in the second quarter, with good growth in all business areas resulting in an organic increase in sales of 10 percent. The shortage of components has been handled in exemplary manner by our companies and is judged to have had only a limited impact on the Group's overall capacity to deliver to customers during the period. The market situation, combined with continued good cost control and well-handled price increases from suppliers gave record high margins and gave an EBITA growth of 39 percent for the quarter.Addtech Energy, ett affärsområde inom Addtechkoncernen, har idag tecknat avtal om förvärv av samtliga aktier i Ko Hartog Verkeerstechniek.Addtech Energy, a business area in the Addtech Group, has today signed an agreement to acquire all shares outstanding in Ko Hartog Verkeerstechniek B.V.Addtech Electrification, a business area in the Addtech Group, has today signed an agreement to acquire all shares outstanding in German based ABH Stromschienen GmbH (""ABH""). ABH develops, specifies, and delivers power distribution systems for applications for data centers, industry and e-mobility.Addtech Electrification, ett affärsområde inom&nbsp;Addtechkoncernen, har idag&nbsp;tecknat avtal&nbsp;om förvärv av samtliga&nbsp;aktier i&nbsp;tyska ABH Stromschienen GmbH (""ABH""). ABH utvecklar,&nbsp;projekterar&nbsp;och levererar energibesparande strömfördelningssystem för tillämpningar inom datacenter, industri och e-mobility.In the share-based incentive scheme resolved by the 2021 Annual General Meeting, that comprised about 100 members of management and a maximum of 1,000,000 call options on repurchased class B shares, 768.070 call options were subscribed for.I det av årsstämman 2021 beslutade aktierelaterade incitamentsprogrammet som omfattade ca 100 ledningspersoner och maximalt 1 000 000 köpoptioner på återköpta aktier av serie B tecknades totalt 768 070 optioner.By adapting its operations and further strengthening the network between the companies, Addtech sharpens its organisation to best capture future growth opportunities. The new organisation will come into effect on 1 October 2021 and will comprise five business areas with clear niche strategies.Genom att anpassa verksamheten och ytterligare stärka nätverket mellan bolagen vässar Addtech organisationen för att på bästa sätt tillvarata framtida tillväxtmöjligheter. Den nya organisationen träder i kraft den 1 oktober 2021 och kommer att bestå av fem affärsområden med tydliga nischstrategier."
5,SE0000695876,"Today, during a COP26 event, Alfa Laval was announced as the first company to officially join ABB's newly launched energy efficiency movement, a multi-stakeholder initiative to raise awareness of the benefits of energy efficiency solutions to accelerate the transition towards decarbonization.VId ett arrangemang idag på COP26, meddelades det att Alfa Laval som första bolag officiellt går med i ABBs nylanserade initiativ ""Energy efficiency movement"". Detta är ett initiativ med flera intressenter i syfte att öka medvetenheten kring fördelarna med energieffektivitetslösningar för att påskynda övergången mot avkarbonisering.Alfa Laval tillkännagav idag på COP26 i Glasgow att de är en del av rådet för 'Long Duration Energy Storage' (LDES / Långtidslagring). Rådet är grundat av teknikföretag, användare och investerare i syfte att driva på utvecklingen mot koldioxidneutralitet år 2040. Rådet kommer att stödja regeringar, nätoperatörer och stora elanvändare att implementera de mest kostnadseffektiva energilagringslösningar som kan ersätta användningen av fossila bränslen.Today at COP26 in Glasgow, UK, Alfa Laval announced its participation in the Long Duration Energy Storage (LDES) Council. Formed by technology companies, users and investors to achieve grid net-zero by 2040, the council will support governments, grid operators and major electricity users in adopting the most cost-effective energy storage solutions to replace the use of fossil fuels.During the period October 25 - October 29, 2021, Alfa Laval AB (publ) (LEI code: 549300UCKT2UK88AG251) has repurchased in total 115,000 own shares (ISIN: SE0000695876) as part of the share buyback program initiated by the Board of Directors in order to secure optimized capital structure.Under perioden 25 oktober - 29 oktober 2021 har Alfa Laval AB (publ) (LEI-kod: 549300UCKT2UK88AG251) återköpt sammanlagt 115 000 egna aktier (ISIN: SE0000695876) inom ramen för det återköpsprogram som initierats av styrelsen för att säkerställa optimerad kapitalstruktur.With the new Alfa Laval PlusClean® tank cleaning nozzle, the company continues to bring innovative products to the market. &nbsp;The nozzle sets a new standard for the food, dairy, beverage, pharmaceutical, home and personal care industries. Its unprecedented 100 percent tank cleaning coverage and up to 80 percent savings in water and cleaning media, provides a more sustainable and competitive alternative to traditional cleaning methods.Med det nya Alfa Laval PlusClean®-munstycket för tankrengöring fortsätter bolaget att lansera &nbsp;innovativa produkter på marknaden. Munstycket sätter en ny standard för industriprocesser inom livsmedel, mejeri, drycker, läkemedel, rengörings- och hygienprodukter. Dess oöverträffade kapacitet på 100-procentig tankrengöring, kombinerat med 80 procent lägre förbrukning av av vatten- och rengöringsmedia, gör det till ett mer hållbart och konkurrenskraftigt alternativ till traditionella rengöringsmetoder.Alfa Laval recently opened a new greenfield manufacturing site in San Bonifacio, Italy, for the production of brazed heat exchangers. The new highly advanced facility includes research and customer training areas and will mainly supply heat exchangers to customers in Europe.Alfa Laval har nyligen öppnat en helt ny produktionsanläggning i San Bonifacio, Italien för produktion av lödda värmeväxlare. Den nya fabriken är en avancerad anläggning som innefattar områden för både Forskning &amp; Utveckling och utbildning av kunder. Den kommer att leverera värmeväxlare främst till kunder i Europa."
7,SE0002095604,"Arise's Q3-report will be released on Wednesday 10 November, 2021 at around 08.00 CET.&nbsp;At 11.00 on the same day a teleconference will be held, hosted by Per-Erik Eriksson, CEO and Linus Hägg, CFO, who will present the report to the stock market and media. After the presentation those attending will be invited to ask questions.Arise AB:s delårsrapport för tredje kvartalet 2021 offentliggörs onsdagen den 10 november 2021 omkring klockan 08.00. Samma dag kl. 11.00 hålls en telefonkonferens med Per-Erik Eriksson, VD och Linus Hägg, Finansdirektör, som presenterar rapporten för aktiemarknad och media. Efter presentationen ges möjlighet att ställa frågor.Under oktober månad har antalet aktier och röster i Arise AB (publ) ökat med anledning av konvertering av konvertibler av serie 2017/2022 utgivna inom ramen för en företrädesemission av konvertibler 2017. Per den 29 oktober 2021 uppgår antalet aktier och röster i Arise AB (publ) till 38 621 440.During October, the number of shares and votes in Arise AB (publ) has increased due to the conversion of convertibles issued under a preferential rights issue of convertibles in 2017. As of 29 October 2021, the number of shares and votes in Arise AB (publ) amounts to 38,621,440.Styrelsen för Arise AB (publ) (""Arise"") har beslutat att tillsätta Per-Erik Eriksson, nuvarande Operativ chef och tillförordnad VD, som VD för bolaget från och med den 11 oktober 2021.The board of directors of Arise AB (publ) (""Arise"") has decided to appoint Per-Erik Eriksson as CEO from 11 October 2021. Per-Erik Eriksson is currently COO and acting CEO.Svagare vindar än normalt under september månad resulterade i en elproduktion om 20,3 GWh, jämfört med månadens budget om 25,5 GWh.Weaker wind conditions than normal in September resulted in a power production of 20.3 GWh, compared to the month's budget of 25.5 GWh.Linus Hägg, CFO, has decided to leave Arise AB (publ) (""Arise"") to take up the position of Partner and CIO at Niam Infrastructure AB.Linus Hägg, Finansdirektör, har beslutat att lämna Arise AB (publ) (""Arise"") för att bli partner och investeringsansvarig på Niam Infrastructure AB."
8,SE0007100581,"Strong profitable sales growthStark och lönsam försäljningstillväxtFöljande representanter för ASSA ABLOY AB:s aktieägare kommer vara ledamöter i valberedningen inför årsstämman 2022:The following representatives of ASSA ABLOY AB's shareholders will be members of the Nomination Committee for the Annual General Meeting 2022:ASSA ABLOY has signed a definitive agreement to acquire Arran Isle, a leading designer, manufacturer and distributor of door and window hardware in the UK and Ireland.ASSA ABLOY har tecknat avtal om förvärv av Aaran Isle, en ledande designer, tillverkare och distributör av beslag för dörrar och fönster, baserad i Storbritannien.&nbsp;ASSA ABLOY has signed a definitive agreement to acquire the Hardware and Home Improvement (""HHI"") division of Spectrum Brands (NYSE:SPB) for a purchase price of MUSD 4,300 on a cash and debt free basis.ASSA ABLOY har tecknat bindande avtal om att förvärva Hardware and Home Improvement (""HHI"") divisionen inom Spectrum Brands (NYSE:SPB) för en köpeskilling om 4&nbsp;300 MUSD på skuldfri basis.&nbsp;ASSA ABLOY har förvärvat Omni-ID, en ledande tillverkare av RFID-brickor och IoT produkter för passiv och aktiv märkning, spårning och övervakning inom industriella applikationer, baserad i USA.ASSA ABLOY has acquired Omni-ID, a leading manufacturer of RFID tags and industrial IoT hardware devices for passive and active tagging, tracking, monitoring and alerting applications, based in the US."
9,GB0009895292,"Calquence shows durable efficacy and favourable tolerability vs. standards&nbsp;of care across multiple analyses in chronic lymphocytic leukaemiaNew Calquence tablet formulation will potentially expand eligible patient&nbsp;population with comparable efficacy and safety to current capsulesEmerging pipeline will also demonstrate promise of inducing deeper patient responses using novel combinations for hard-to-treat blood cancersAgreement sharpens AstraZeneca's focus on priority medicines in Respiratory &amp; Immunology portfolioFirst immunotherapy combination to demonstrate superior clinical outcomes over standard of care in a global, randomised trial in this settingTrial met primary endpoint of overall survival with a single priming&nbsp;dose of tremelimumab plus Imfinzi every four weeks vs. sorafenibTrial met primary endpointTezepelumab has been granted Orphan Drug Designation (ODD) in the US by the Food and Drug Administration (FDA) for the treatment of eosinophilic esophagitis (EoE).Filing includes data from PROVENT Phase III trial showing 77% reduction in risk of developing symptomatic COVID-19 with long-acting antibody combination (non-vaccine)Based on ground-breaking DESTINY-Breast03 results where Enhertu reduced the risk of disease progression or death by 72% vs. trastuzumab emtansine (T-DM1)AstraZeneca will advance and accelerate ongoing Phase III clinical development of CAEL-101, a potential first-in-class medicine for AL amyloidosisSaphnelo is a first-in-class type I interferon receptor antibody shown to reduce overall disease activity in patients with systemic lupus erythematosus"
10,SE0011166610,"Nacka, Sweden,&nbsp;October 29,&nbsp;2021: Atlas Copco&nbsp;has set Science Based Targets to reduce greenhouse gas emissions in line with the goals of the Paris Agreement. The Group aims to reduce emissions from its own operations in line with keeping the global temperature rise below 1.5 degrees, and to reduce emissions from the value chain in line with keeping well below a 2-degree temperature rise. The goals are validated by the Science Based Targets initiative.Nacka, den 29 oktober 2021: Atlas Copco har satt Science Based Targets för att minska utsläpp av växthusgaser i linje med målen för Parisavtalet. Koncernen avser att minska utsläppen från den egna verksamheten i linje med vad som krävs för att hålla den globala temperaturhöjningen under 1.5 grader, samt minska utsläppen från hela värdekedjan i linje med vad som krävs för att begränsa temperaturhöjningen till under 2 grader. Målen valideras av initiativet Science Based Targets.Nacka, Sweden, October 27, 2021: Atlas Copco has agreed to acquire HHV Pumps Pvt. Ltd. The company designs and manufactures vacuum pumps and systems for applications used in a wide range of industries. &nbsp;Nacka, den 27 oktober 2021: Atlas Copco har förvärvat HHV Pumps Pvt. Ltd. Företaget designar och tillverkar vakuumpumpar och system för applikationer som används inom en mängd olika industrier.Nacka, den 26 oktober 2021: Atlas Copco har utsett Eva Klasén till chefsjurist och medlem i ledningsgruppen. Eva Klasén kommer anta sin nya roll den första maj 2022. &nbsp;Nacka, Sweden, October 26, 2021: Atlas Copco has appointed Eva Klasén Senior Vice President, Chief Legal Officer and member of Atlas Copco's Group Management. Eva Klasén will assume her new role May 1[st], 2022.Nacka, Sweden, October 21, 2021: Mats Rahmström, President and CEO of the Atlas Copco Group, comments on the report for Q3 that was released today.&nbsp;Nacka, Sverige, den 21 oktober 2021: Mats Rahmström, VD och koncernchef för Atlas Copco, kommenterar resultatet för det tredje kvartalet som offentliggjordes idag.Strong order intake and profit with solid cash flowStark orderingång och resultat med solitt kassaflöde"
11,SE0000191827,"Atrium Ljungberg har tecknat avtal om att förvärva tomträtten Palmfelt Center, Kylhuset 28, i Slakthusområdet i Stockholm. Tomträtten om drygt 30 500 kvadratmeter uthyrbar yta kommer att förvärvas till ett underliggande fastighetsvärde baserat på en uppdaterad marknadsvärdering per årsskiftet som preliminärt fastställts till 1 560 miljoner kronor.- Ett stabilt kvartal med flera strategiskt viktiga etableringar som stärker våra platser, säger Annica Ånäs, vd Atrium Ljungberg.I början av december slår Alba Golf upp dörrarna till en helt ny golfupplevelse i Sickla. I ombonade industrihistoriska lokaler serveras god mat, dryck och valfria artonhålsrundor från världens alla hörn. En av personerna bakom den nya satsningen är entreprenören och Daniel Wellington-grundaren Filip Tysander. Etableringen är ytterligare en av Atrium Ljungbergs satsningar på verksamheter inom aktiv livsstil i Sickla.&nbsp;Ulrika Danielsson will become the new CFO in November. She joins the company from Castellum, where she was the Director of Economics and Finance.Ulrika Danielsson tillträder rollen som ny cfo i november. Hon kommer närmast från Castellum där hon varit ekonomi- och finansdirektör.Martin Lindqvist, cfo på Atrium Ljungberg, lämnar sin anställning efter fem år i bolaget.Martin Lindqvist, CFO at Atrium Ljungberg, is leaving his job after five years at the company.- Ett starkt kvartal med resultat för vårt första bostadsrättsprojekt, säger Annica Ånäs, vd Atrium Ljungberg.""Strong quarter boosted by earnings from our first tenant-owned dwelling project"" says Annica Ånäs, CEO of Atrium Ljungberg.2019 startade Atrium Ljungberg sitt första bostadsrättsprojekt, Brf Sicklastråket, på Nobelberget i Sickla i Nacka. Projektet omfattade 68 lägenheter. Bostadsrättslägenheterna är slutsålda och inflyttning skedde innan årsskiftet 2021. Investeringen uppgick till 310 mkr."
12,SE0000382335,"(Stockholm, Sweden and Pontedera, Italy, November 4, 2021)&nbsp;- Autoliv, Inc. (NYSE: ALV and SSE: ALIVsdb), the worldwide leader in automotive safety systems, and the Piaggio Group, one of the leading manufacturers of scooters and motorcycles, are collaborating to develop an airbag for powered two-wheelers, for greater rider safety.(Stockholm, Sverige och Pontedera, Italien, 4 november 2021) - Autoliv, Inc. (NYSE: ALV och SSE: ALIVsdb), världens ledande trafiksäkerhetsföretag, och den ledande motorcykeltillverkaren Piaggio samarbetar för att utveckla en krockkudde för motordrivna tvåhjulingar för att bättre skydda förare.(Stockholm, Sweden, November 2, 2021)&nbsp;- As previously announced, Autoliv, Inc. (NYSE: ALV and SSE: ALIVsdb), the worldwide leader in automotive safety systems, will hold a Capital Markets Day on Tuesday November 16[th], 2021. Autoliv invites investors, analysts, media and other stakeholders to attend. The event will be virtual only and will includes a live Q&amp;A session.Stockholm, Sweden, October 22, 2021(NYSE: ALV and SSE: ALIV.sdb)Stockholm, Sverige, 22 Oktober, 2021(NYSE: ALV and SSE: ALIV.sdb)(Stockholm, Sweden, October 5, 2021) Autoliv Inc., plans to publish its Financial Reportfor the third quarter 2021 on Friday, October 22 at 12:00 Central European Time (CEST).(Stockholm, Sweden, September 22, 2021) - Autoliv, Inc. (NYSE: ALV and SSE: ALIVsdb), the worldwide leader in automotive safety systems, strengthens its insights in automotive safety and the wider mobility safety arena, as Bryan Reimer and Hasse Johansson joins the Autoliv Research Advisory Board.(Stockholm, Sweden, August 19, 2021)&nbsp;- Autoliv, Inc. (NYSE: ALV and SSE: ALIVsdb), the worldwide leader in automotive safety systems, today announced that its Board of Directors has declared a quarterly dividend of 62 cents per share for the third quarter of 2021.(Stockholm, 19 augusti 2021) - Styrelsen för Autoliv Inc., (NYSE: ALV och SSE: ALIVsdb) världens ledande bilsäkerhetsföretag, har idag tillkännagivit en kvartalsutdelning till aktieägarna på 62 cent per aktie för tredje kvartalet 2021.Stockholm, Sweden, July 16, 2021&nbsp;(NYSE: ALV and SSE: ALIV.sdb)&nbsp;"
