text,stock_change,compound,neg,neu,pos
|AAK AB: AAK förväntar sig ett rörelseresultat för tredje kvartalet som är högre än vad tidigare förutsetts|,5.87,0.0,0.0,1.0,0.0
|AAK AB: AAK:s delårsrapport för det andra kvartalet 2020 - utmanande start på kvartalet följt av en tydlig successiv förbättring|,-7.47,0.5574,0.0,0.796,0.204
|AAK AB: AAK:s delårsrapport för det första kvartalet 2020 - fortsatt resultattillväxt på en volatil marknad|,-5.01,0.0,0.0,1.0,0.0
|Nya prekliniska data kring tasquinimod kommer att presenteras på det årliga mötet i American Society of Hematology (ASH)|,10.65,0.0,0.0,1.0,0.0
|Active Biotech Delårsrapport januari - september 2021|,10.65,0.0,0.0,1.0,0.0
|Active Biotech offentliggör prospekt och viss ny finansiell information som återfinns i prospektet|,5.44,0.2516,0.0,0.857,0.143
|Active Biotech offentliggör de slutliga villkoren för företrädesemissionen|,-21.41,0.0,0.0,1.0,0.0
|Rättelse till tidigare pressmeddelande: Active Biotech uppdaterar sin kliniska strategi och beräknade milstolpar|,45.94,0.0,0.0,1.0,0.0
|ACTIVE BIOTECH UPPDATERAR SIN KLINISKA STRATEGI OCH BERÄKNADE MILSTOLPAR|,45.94,0.0,0.0,1.0,0.0
|Active Biotech Delårsrapport januari – juni 2020|,-14.1,0.0,0.0,1.0,0.0
|Active Biotech meddelar att första patienten har doserats i fas 1b/2a-studien med tasquinimod för behandling av multipelt myelom|,7.46,0.0,0.0,1.0,0.0
|Active Biotech offentliggör ny inriktning|,14.64,0.3182,0.0,0.635,0.365
|Fas 2-studien LEGATO-HD med laquinimod i Huntingtons sjukdom presenteras på den vetenskapliga konferensen "American Academy of Neurology - AAN" i Philadelphia, PA, den 6 maj, 2019|,-7.14,-0.4019,0.097,0.903,0.0
|Delårsrapport 1 januari – 30 juni 2021|,6.41,0.0,0.0,1.0,0.0
|Addnode Groups årsredovisning 2020 publicerad|,5.71,0.0,0.0,1.0,0.0
|Addnode Group förvärvar programvarubolaget S-GROUP Solutions|,5.71,0.0,0.0,1.0,0.0
|Addnode Group: Delårsrapport 1 januari - 30 september 2020|,6.18,0.0,0.0,1.0,0.0
|Addnode Group: INBJUDAN TILL PRESENTATION AV ADDNODE GROUPS DELÅRSRAPPORT, JANUARI-MARS 2020|,6.73,0.3254,0.0,0.811,0.189
|Addtech: Delårsrapport Q2 1 april - 30 september 2021|,11.48,0.0,0.0,1.0,0.0
|Addtech: Delårsrapport Q2 1 april - 30 september 2020|,-8.62,0.0,0.0,1.0,0.0
|Addtech: Bokslutskommuniké 1 april 2019 - 31 mars 2020|,7.93,0.0,0.0,1.0,0.0
|Addtech förvärvar Caligo Industria Oy|,-5.82,0.0,0.0,1.0,0.0
|Samtliga Addtechbolag åter i drift efter IT-attacken|,11.11,0.296,0.0,0.732,0.268
|Thomas Møller blir ny chef för Alfa Lavals Energidivision|,7.96,0.3182,0.0,0.777,0.223
|Anoto tar upp brygglån om 20 miljoner SEK för att möta kraftigt ökad efterfrågan från kunder|,9.05,0.0,0.088,0.824,0.088
|Knowledge AI sluter ett tvåårigt distributionsavtal i Saudiarabien med ett minimum försäljningsåtagande värt USD 6 miljoner|,15.04,0.34,0.0,0.862,0.138
|Riskkapitalist från Silicon Valley med MIT-bakgrund ny vd i Anoto|,-7.1,0.3182,0.0,0.796,0.204
|Knowledge AI sluter ett tvåårigt distributionsavtal i Förenade Arabemiraten med ett minimum försäljningsåtagande värt USD 6 miljoner|,15.71,0.34,0.0,0.87,0.13
|Anoto Group kommer överens om en riktad nyemission om 9 miljoner aktier med en institutionell investerare samt ytterligare 21 miljoner aktier villkorat godkännande vid extra bolagsstämma|,21.86,0.8176,0.0,0.698,0.302
|Anoto Group genomför en riktad nyemission om 8 595 556 stamaktier och tillförs därigenom ca 7,7 miljoner SEK|,13.08,0.0,0.0,1.0,0.0
|Anoto Group förlänger VD:s anställningsavtal med ytterligare ett år|,7.68,0.0,0.0,1.0,0.0
|Anotos dotterbolag för utbildning Knowledge AI Inc erhåller ett term sheet från investerare för 4 miljoner dollar|,13.1,0.0,0.0,1.0,0.0
|DELÅRSRAPPORT JANUARI – JUNI 2020|,-15.33,0.0,0.0,1.0,0.0
|Anotos dotterbolag för utbildning Knowledge AI har ingått två nya prenumerationsavtal|,6.31,0.0,0.0,1.0,0.0
|Anotos dotterbolag Knowledge AI Inc har ingått ett treårigt inkomstgenererande avtal med ett skoldistrikt i delstaten West Virginia i USA|,13.7,0.4939,0.0,0.856,0.144
|Kompletterande information till tidigare pressmeddelande avseende att Anotos dotterbolag Knowledge AI Inc ingått ett prenumerationsavtal med ett sydkoreanskt universitet|,7.44,0.0,0.0,1.0,0.0
|Anotos dotterbolag Knowledge AI Inc utökar användarbasen för sin utbildningslösning KAIT genom att ingå ett inkomstgenererande prenumerationsavtal med ett sydkoreanskt universitet|,7.44,0.0,0.0,1.0,0.0
|Anoto har ingått ett inkomstgenererande avtal för sin utbildningslösning KAIT genom att ett skoldistrikt i delstaten Indiana i USA övergått från ett pilotavtal till ett flerårigt prenumerationsavtal|,18.2,0.4939,0.0,0.89,0.11
|Rapport januari – mars 2020|,-10.23,0.0,0.0,1.0,0.0
|Anoto meddelar att Knowledge AI har tilldelats ett avtal med the Singapore Ministry of Education för sin utbildningslösning KAIT|,7.41,0.7096,0.0,0.742,0.258
|Kommuniké från extra bolagsstämma i Anoto Group AB|,-5.71,0.0,0.0,1.0,0.0
